  Fig   Protocol          File               Metric              Value        
 fig11   epaxos        FileRead-0            p90.0         591.1589803999999  
 fig11   epaxos        FileRead-0            p90.01          591.2742707756   
 fig11   epaxos        FileRead-0      p90.02000000000001  591.4555271512003  
 fig11   epaxos        FileRead-0      p90.03000000000002  591.4982831442001  
 fig11   epaxos        FileRead-0      p90.04000000000002    591.5035083256   
 fig11   epaxos        FileRead-0      p90.05000000000003  591.5076742040001  
 fig11   epaxos        FileRead-0      p90.06000000000003  591.5142171252002  
 fig11   epaxos        FileRead-0      p90.07000000000004  591.5432036794001  
 fig11   epaxos        FileRead-0      p90.08000000000004    591.5660869856   
 fig11   epaxos        FileRead-0      p90.09000000000005    591.5710242588   
 fig11   epaxos        FileRead-0      p90.10000000000005  591.5815246300001  
 fig11   epaxos        FileRead-0      p90.11000000000006  591.6000488930001  
 fig11   epaxos        FileRead-0      p90.12000000000006  591.8720094648035  
 fig11   epaxos        FileRead-0      p90.13000000000007  592.3390101202034  
 fig11   epaxos        FileRead-0      p90.14000000000007  592.5574338380009  
 fig11   epaxos        FileRead-0      p90.15000000000008  592.6795562550009  
 fig11   epaxos        FileRead-0      p90.16000000000008  592.7009885440001  
 fig11   epaxos        FileRead-0      p90.17000000000009  592.7089013066002  
 fig11   epaxos        FileRead-0      p90.18000000000009  592.7372361364003  
 fig11   epaxos        FileRead-0      p90.1900000000001   592.7624415324002  
 fig11   epaxos        FileRead-0      p90.2000000000001   592.7741085920002  
 fig11   epaxos        FileRead-0      p90.21000000000011  592.7955401658005  
 fig11   epaxos        FileRead-0      p90.22000000000011  592.8356407356005  
 fig11   epaxos        FileRead-0      p90.23000000000012  592.9271463756016  
 fig11   epaxos        FileRead-0      p90.24000000000012  593.0702470528016  
 fig11   epaxos        FileRead-0      p90.25000000000013  593.6132420950095  
 fig11   epaxos        FileRead-0      p90.26000000000013  594.3671110108094  
 fig11   epaxos        FileRead-0      p90.27000000000014  594.6978386054033  
 fig11   epaxos        FileRead-0      p90.28000000000014  594.9295700056032  
 fig11   epaxos        FileRead-0      p90.29000000000015  594.9675205482005  
 fig11   epaxos        FileRead-0      p90.30000000000015  594.9990069760005  
 fig11   epaxos        FileRead-0      p90.31000000000016  595.0329682152005  
 fig11   epaxos        FileRead-0      p90.32000000000016  595.1053947056027  
 fig11   epaxos        FileRead-0      p90.33000000000017   595.278025221403  
 fig11   epaxos        FileRead-0      p90.34000000000017    595.3769543652   
 fig11   epaxos        FileRead-0      p90.35000000000018    595.379393723    
 fig11   epaxos        FileRead-0      p90.36000000000018    595.383092644    
 fig11   epaxos        FileRead-0      p90.37000000000019  595.3876715230001  
 fig11   epaxos        FileRead-0      p90.3800000000002   595.3970867408002  
 fig11   epaxos        FileRead-0      p90.3900000000002   595.4081628024002  
 fig11   epaxos        FileRead-0      p90.4000000000002   595.4127025920001  
 fig11   epaxos        FileRead-0      p90.41000000000021  595.4166304620001  
 fig11   epaxos        FileRead-0      p90.42000000000021    595.422491644    
 fig11   epaxos        FileRead-0      p90.43000000000022    595.4275077656   
 fig11   epaxos        FileRead-0      p90.44000000000023  595.4293707648001  
 fig11   epaxos        FileRead-0      p90.45000000000023  595.4668599380022  
 fig11   epaxos        FileRead-0      p90.46000000000024  595.5657908344024  
 fig11   epaxos        FileRead-0      p90.47000000000024  595.6590231236021  
 fig11   epaxos        FileRead-0      p90.48000000000025  595.7470514624022  
 fig11   epaxos        FileRead-0      p90.49000000000025  595.7877693194005  
 fig11   epaxos        FileRead-0      p90.50000000000026  595.8060539300004  
 fig11   epaxos        FileRead-0      p90.51000000000026  595.8197265528004  
 fig11   epaxos        FileRead-0      p90.52000000000027  595.8324812656003  
 fig11   epaxos        FileRead-0      p90.53000000000027  596.3029729496122  
 fig11   epaxos        FileRead-0      p90.54000000000028  596.7270326448033  
 fig11   epaxos        FileRead-0      p90.55000000000028  596.8499472160036  
 fig11   epaxos        FileRead-0      p90.56000000000029  596.9386495184003  
 fig11   epaxos        FileRead-0      p90.57000000000029  596.9479005348003  
 fig11   epaxos        FileRead-0      p90.5800000000003    596.982139343202  
 fig11   epaxos        FileRead-0      p90.5900000000003    597.046109183602  
 fig11   epaxos        FileRead-0      p90.6000000000003   597.0841169560007  
 fig11   epaxos        FileRead-0      p90.61000000000031  597.1056872986006  
 fig11   epaxos        FileRead-0      p90.62000000000032   597.185576959603  
 fig11   epaxos        FileRead-0      p90.63000000000032  597.2830856654031  
 fig11   epaxos        FileRead-0      p90.64000000000033  597.3099329936007  
 fig11   epaxos        FileRead-0      p90.65000000000033  597.3951927310274  
 fig11   epaxos        FileRead-0      p90.66000000000034  598.2263945484285  
 fig11   epaxos        FileRead-0      p90.67000000000034  598.8637629988002  
 fig11   epaxos        FileRead-0      p90.68000000000035  598.8700319152002  
 fig11   epaxos        FileRead-0      p90.69000000000035  598.9783704286095  
 fig11   epaxos        FileRead-0      p90.70000000000036  599.2459336580094  
 fig11   epaxos        FileRead-0      p90.71000000000036  599.4163184066033  
 fig11   epaxos        FileRead-0      p90.72000000000037  599.5059944912033  
 fig11   epaxos        FileRead-0      p90.73000000000037  599.5595961660015  
 fig11   epaxos        FileRead-0      p90.74000000000038  599.5978809080015  
 fig11   epaxos        FileRead-0      p90.75000000000038   599.647166155002  
 fig11   epaxos        FileRead-0      p90.76000000000039  599.6978076848005  
 fig11   epaxos        FileRead-0      p90.7700000000004   599.7135228096006  
 fig11   epaxos        FileRead-0      p90.7800000000004   599.7274493528002  
 fig11   epaxos        FileRead-0      p90.7900000000004   599.7325774804002  
 fig11   epaxos        FileRead-0      p90.80000000000041  599.7394724720004  
 fig11   epaxos        FileRead-0      p90.81000000000041  599.7500437454004  
 fig11   epaxos        FileRead-0      p90.82000000000042  599.7608626592005  
 fig11   epaxos        FileRead-0      p90.83000000000042  599.7719495648005  
 fig11   epaxos        FileRead-0      p90.84000000000043  599.7773503736001  
 fig11   epaxos        FileRead-0      p90.85000000000043  599.7794958590001  
 fig11   epaxos        FileRead-0      p90.86000000000044  599.7901086020006  
 fig11   epaxos        FileRead-0      p90.87000000000045  599.8029506090006  
 fig11   epaxos        FileRead-0      p90.88000000000045  599.8169446208007  
 fig11   epaxos        FileRead-0      p90.89000000000046  599.8665522928163  
 fig11   epaxos        FileRead-0      p90.90000000000046  600.2260395680163  
 fig11   epaxos        FileRead-0      p90.91000000000047  600.5002679986014  
 fig11   epaxos        FileRead-0      p90.92000000000047  600.5300309832014  
 fig11   epaxos        FileRead-0      p90.93000000000048  600.5497062834003  
 fig11   epaxos        FileRead-0      p90.94000000000048  600.5551168972003  
 fig11   epaxos        FileRead-0      p90.95000000000049  600.6465654710076  
 fig11   epaxos        FileRead-0      p90.96000000000049  600.8029462528079  
 fig11   epaxos        FileRead-0      p90.9700000000005     600.8472898618   
 fig11   epaxos        FileRead-0      p90.9800000000005     600.8492564212   
 fig11   epaxos        FileRead-0      p90.9900000000005   600.8712853248012  
 fig11   epaxos        FileRead-0      p91.00000000000051  600.9100146400207  
 fig11   epaxos        FileRead-0      p91.01000000000052  601.3141878704206  
 fig11   epaxos        FileRead-0      p91.02000000000052  601.6508707812028  
 fig11   epaxos        FileRead-0      p91.03000000000053  601.7045339418028  
 fig11   epaxos        FileRead-0      p91.04000000000053  601.8491190288169  
 fig11   epaxos        FileRead-0      p91.05000000000054  602.1638937810172  
 fig11   epaxos        FileRead-0      p91.06000000000054  602.3251145608006  
 fig11   epaxos        FileRead-0      p91.07000000000055  602.3351420076006  
 fig11   epaxos        FileRead-0      p91.08000000000055  602.3440734104005  
 fig11   epaxos        FileRead-0      p91.09000000000056  602.3524390142004  
 fig11   epaxos        FileRead-0      p91.10000000000056  602.3678412580009  
 fig11   epaxos        FileRead-0      p91.11000000000057  602.3848386858009  
 fig11   epaxos        FileRead-0      p91.12000000000057  602.4354209600031  
 fig11   epaxos        FileRead-0      p91.13000000000058  602.4830434660012  
 fig11   epaxos        FileRead-0      p91.14000000000058  602.5032729480012  
 fig11   epaxos        FileRead-0      p91.15000000000059   602.522651597001  
 fig11   epaxos        FileRead-0      p91.1600000000006    602.539865904801  
 fig11   epaxos        FileRead-0      p91.1700000000006   602.6820478100177  
 fig11   epaxos        FileRead-0      p91.1800000000006   602.9846767400182  
 fig11   epaxos        FileRead-0      p91.19000000000061  603.1172491728009  
 fig11   epaxos        FileRead-0      p91.20000000000061   603.133350344001  
 fig11   epaxos        FileRead-0      p91.21000000000062  603.1543226656014  
 fig11   epaxos        FileRead-0      p91.22000000000062  603.1769258992014  
 fig11   epaxos        FileRead-0      p91.23000000000063  603.2419400310044  
 fig11   epaxos        FileRead-0      p91.24000000000063  603.3086645152016  
 fig11   epaxos        FileRead-0      p91.25000000000064  603.3326753000016  
 fig11   epaxos        FileRead-0      p91.26000000000064   603.354810533201  
 fig11   epaxos        FileRead-0      p91.27000000000065   603.370144491401  
 fig11   epaxos        FileRead-0      p91.28000000000065  603.3884339056015  
 fig11   epaxos        FileRead-0      p91.29000000000066  603.4117165158016  
 fig11   epaxos        FileRead-0      p91.30000000000067  603.4584045080046  
 fig11   epaxos        FileRead-0      p91.31000000000067  603.5260591396045  
 fig11   epaxos        FileRead-0      p91.32000000000068  603.7681388352221  
 fig11   epaxos        FileRead-0      p91.33000000000068   604.091120868822  
 fig11   epaxos        FileRead-0      p91.34000000000069  604.1824473388032  
 fig11   epaxos        FileRead-0      p91.35000000000069  604.2292560070032  
 fig11   epaxos        FileRead-0      p91.3600000000007   604.4641743008164  
 fig11   epaxos        FileRead-0      p91.3700000000007   604.7315451908314  
 fig11   epaxos        FileRead-0      p91.3800000000007   605.1767033192313  
 fig11   epaxos        FileRead-0      p91.39000000000071   605.575552181221  
 fig11   epaxos        FileRead-0      p91.40000000000072   605.869269512021  
 fig11   epaxos        FileRead-0      p91.41000000000072  606.0437963166027  
 fig11   epaxos        FileRead-0      p91.42000000000073  606.0792198692026  
 fig11   epaxos        FileRead-0      p91.43000000000073  606.4552658872435  
 fig11   epaxos        FileRead-0      p91.44000000000074  607.0426484976433  
 fig11   epaxos        FileRead-0      p91.45000000000074  607.1809762380004  
 fig11   epaxos        FileRead-0      p91.46000000000075  607.1872668424005  
 fig11   epaxos        FileRead-0      p91.47000000000075  607.1972493824007  
 fig11   epaxos        FileRead-0      p91.48000000000076  607.2068106848001  
 fig11   epaxos        FileRead-0      p91.49000000000076  607.2086856124001  
 fig11   epaxos        FileRead-0      p91.50000000000077  607.2136520700011  
 fig11   epaxos        FileRead-0      p91.51000000000077  607.2284210558012  
 fig11   epaxos        FileRead-0      p91.52000000000078  607.2753365344075  
 fig11   epaxos        FileRead-0      p91.53000000000078  607.3714013616076  
 fig11   epaxos        FileRead-0      p91.54000000000079   607.527232164816  
 fig11   epaxos        FileRead-0      p91.5500000000008   607.7317478360163  
 fig11   epaxos        FileRead-0      p91.5600000000008   607.8956071368117  
 fig11   epaxos        FileRead-0      p91.5700000000008   608.0425970146118  
 fig11   epaxos        FileRead-0      p91.58000000000081  608.0881424752024  
 fig11   epaxos        FileRead-0      p91.59000000000081  608.1228633782267  
 fig11   epaxos        FileRead-0      p91.60000000000082  608.4487575680266  
 fig11   epaxos        FileRead-0      p91.61000000000082  608.7276744062046  
 fig11   epaxos        FileRead-0      p91.62000000000083  608.7831745404046  
 fig11   epaxos        FileRead-0      p91.63000000000083    608.8206917978   
 fig11   epaxos        FileRead-0      p91.64000000000084    608.8215988984   
 fig11   epaxos        FileRead-0      p91.65000000000084  608.8232358240001  
 fig11   epaxos        FileRead-0      p91.66000000000085  608.8256475296001  
 fig11   epaxos        FileRead-0      p91.67000000000085  608.8344809242011  
 fig11   epaxos        FileRead-0      p91.68000000000086  608.8469151968011  
 fig11   epaxos        FileRead-0      p91.69000000000086  608.8505891110001  
 fig11   epaxos        FileRead-0      p91.70000000000087  608.8520232300001  
 fig11   epaxos        FileRead-0      p91.71000000000087  608.8658027882012  
 fig11   epaxos        FileRead-0      p91.72000000000088  608.8822559880028  
 fig11   epaxos        FileRead-0      p91.73000000000089  608.9157070170029  
 fig11   epaxos        FileRead-0      p91.74000000000089  608.9414125740003  
 fig11   epaxos        FileRead-0      p91.7500000000009   608.9454546750004  
 fig11   epaxos        FileRead-0      p91.7600000000009   609.3808891408924  
 fig11   epaxos        FileRead-0      p91.7700000000009   610.4144248166938  
 fig11   epaxos        FileRead-0      p91.78000000000091  610.8873179316053  
 fig11   epaxos        FileRead-0      p91.79000000000092  610.9453067638053  
 fig11   epaxos        FileRead-0      p91.80000000000092  610.9667582600008  
 fig11   epaxos        FileRead-0      p91.81000000000093  610.9747204670008  
 fig11   epaxos        FileRead-0      p91.82000000000093  610.9799367076005  
 fig11   epaxos        FileRead-0      p91.83000000000094  610.9847375494003  
 fig11   epaxos        FileRead-0      p91.84000000000094  610.9881094912004  
 fig11   epaxos        FileRead-0      p91.85000000000095  610.9937889950014  
 fig11   epaxos        FileRead-0      p91.86000000000095  611.0088540220014  
 fig11   epaxos        FileRead-0      p91.87000000000096  611.0282866056026  
 fig11   epaxos        FileRead-0      p91.88000000000096  611.0557240944026  
 fig11   epaxos        FileRead-0      p91.89000000000097  611.0749774940011  
 fig11   epaxos        FileRead-0      p91.90000000000097  611.0863257400011  
 fig11   epaxos        FileRead-0      p91.91000000000098  611.0913114132002  
 fig11   epaxos        FileRead-0      p91.92000000000098  611.0930822384001  
 fig11   epaxos        FileRead-0      p91.93000000000099  611.1085814224018  
